"","AD","AD.1","AD.2","AD.3","AD.4","AD.5","AD.6","AD.7","AD.8","AD.9","AD.10","AD.11","AD.12","AD.13","AD.14","AD.15","AD.16","AD.17","AD.18","AD.19","AD.20","AD.21","AD.22","AD.23","AD.24","AD.25","AD.26","AD.27","AD.28","AD.29","AD.30","AD.31","AD.32","AD.33","AD.34","AD.35","AD.36","AD.37","AD.38","AD.39","AD.40","AD.41","AD.42","NDC","NDC.1","NDC.2","NDC.3","NDC.4","NDC.5","NDC.6","NDC.7","NDC.8","NDC.9","NDC.10","NDC.11","NDC.12","NDC.13","NDC.14","NDC.15","NDC.16","NDC.17","NDC.18","NDC.19","NDC.20","NDC.21","NDC.22","NDC.23","NDC.24","NDC.25","NDC.26","NDC.27","NDC.28","NDC.29","NDC.30","NDC.31","NDC.32","NDC.33","NDC.34","NDC.35","NDC.36","NDC.37","NDC.38","NDC.39"
"AD",0,9.32535641071561,7.11560104654836,10.4283901032622,10.9287042658585,10.5981702080852,11.2937548580012,10.9190153498688,11.1916241256406,9.70985294323409,11.1207939651321,8.84800748437165,8.42840852317698,9.02318817978043,8.74217064579291,9.96314744505615,10.423249909039,8.75262580894731,9.28112847970935,10.5597627690035,8.04167439089112,11.2550396293832,10.7524889581411,8.76357133742024,8.33342538096855,8.92057695019741,7.47180643577306,8.31546324541809,9.22086772117505,8.31496600619753,9.18479282085798,8.70272045577792,7.60957671457325,8.9785055204438,9.05106813082945,9.07393906637101,9.08193890746292,8.7374046740772,9.99178015101069,9.55704336821718,10.1236205262149,9.79658267280028,9.898320244933,8.86129658558714,10.1782665172229,10.5489004222788,9.80907721290583,11.0030439846954,8.24760165161504,10.1937082133348,7.46346112207327,7.4124776889233,7.93392626090049,7.66714474555444,8.41820455337118,7.94188051452331,8.21706779189366,9.22389285653032,11.610252831553,9.94356602154923,7.60700066643026,8.87322874943774,7.50823633889209,7.54419596431804,9.26766187907412,11.3142292837526,8.15367787493529,9.28923177375565,9.66990149753257,7.89398391059901,8.10098663214114,8.57896630958633,8.02938397114942,9.06226820701133,9.90103297792443,8.89122374111557,9.02906749146086,7.98024154447605,10.3294742585309,10.6374900034578,10.5101120730483,8.74669412076339,9.55270607975359
"AD.1",9.32535641071561,0,9.10499868738291,9.74111481359622,9.91011180441092,9.07606166777472,10.9926529445163,12.3862463262731,12.2253521288374,9.97689952211951,12.5039512899145,6.17855370172015,7.12527662332668,10.099926374228,9.64540739887589,11.6791877407709,11.8938025392572,8.46876127289982,9.91700997668732,9.16103006006255,7.00527203449766,8.44289907500725,7.95051045687649,8.48644284269736,8.4878616665675,9.51280001745773,9.11433067326112,6.3272601124341,7.70817175434749,8.33491854362841,8.91487666364958,7.64616201827171,8.32897979971229,7.06280321740704,9.08666023985774,8.30582682322548,8.87402395573781,10.0869021997741,9.12069432899492,11.7066339666761,10.9278812964296,10.4190569694528,9.51737446982195,11.179587889567,12.0156588972509,12.7937747932783,10.4860704416532,12.3933722846315,9.15580232239649,9.94106647290027,7.54119541365454,8.62277960822657,7.43440179137015,9.53723577139643,7.88890797777081,9.83785640480724,7.98372987091551,6.62047579340167,8.16768181528459,8.61141259797948,7.25919686713075,7.98003922124561,7.781042615558,7.49053601783933,10.0866098726126,7.59798145654486,6.87908370159815,6.93230513144601,9.84611863149128,8.83070252191562,10.1779747072057,10.7956275018497,10.4683984155938,10.7760577382883,9.80868581893629,9.79173303187121,10.8369111815925,8.31834575159584,12.114744748141,11.7397542749301,11.9397417945241,11.4165712948831,12.739455754639
"AD.2",7.11560104654836,9.10499868738291,0,11.0420811405684,11.1440685955503,10.8865813039999,10.5706015656289,11.9154880029115,11.2910987894616,10.1606433926954,12.6857453527811,9.17363602115167,8.71942942849535,10.4059838877235,10.2939953959095,10.3341911907376,10.4725167176098,10.6185079064397,8.89148486759272,9.33437623643362,7.86950032389075,10.9477104075733,10.4953479798879,8.32133365213577,9.58621004870307,10.5053018980149,8.42718153189546,7.69339501750865,9.09997305079508,8.86580998840606,9.40244705132542,8.08015200925557,7.65786587797467,10.1295301506595,9.07640935400985,9.39341394263326,10.0472932778867,10.0055751739828,10.0085105569182,10.1533025254958,10.6075297247586,9.40070040386658,10.0282579144525,8.17735635073604,9.15569637691712,9.73536945291633,10.3980728341302,11.5491498750164,8.37197124002337,10.8169896211955,8.33411345502043,8.37836019679133,8.44714698940578,8.85276467552688,8.47312884015248,9.71273008246281,9.02750894295303,8.8539439010006,11.0094552953272,9.87177553035169,8.10457672229147,10.2161494249406,8.48671582531643,8.9207921705425,8.73505703488347,10.613205533327,8.41726101939419,9.19621125569864,9.82290599553008,8.69377777648331,8.01152335872284,8.95447419871044,8.00818890071293,10.0312096163648,10.5389323131035,9.16412591992322,10.8003377243305,8.01403553962944,8.90256838265562,8.97393699857243,9.26018534313042,8.42242206781542,10.1099972918457
"AD.3",10.4283901032622,9.74111481359622,11.0420811405684,0,3.41397082437001,3.48653523730339,12.1639925425061,9.82980302960818,11.727007045758,8.4546895390342,10.3938210548325,8.92329677903874,7.71632942840332,7.80015759210004,6.8008436432161,8.6142888402109,9.94699095511708,8.87015139965989,11.6610081439359,11.9660130655011,8.08120482642395,7.81867381177736,7.24380487456359,8.9842900837744,8.32803134620137,9.52154631107208,9.28494552015734,7.54352087397023,7.2215101674323,6.64395039246086,8.14941908052491,8.2178560652435,9.29053582992746,8.58277646970454,6.3102840135671,7.93612655777426,6.35606339347703,8.64489484729146,7.15420125419466,8.46382562046067,8.64871300169341,7.18724340221308,7.48728220755494,10.5322105740773,12.6088284563293,12.9824375785194,4.96452616519244,11.1915914076819,8.75868563753911,8.75431620473495,9.4373405731756,9.45391606561117,8.79330779773801,9.58708991364312,8.56783767490867,8.68932748190415,7.92544175536244,7.87730093875971,8.29212656167078,7.74050464581698,9.44760387318685,8.35096572368748,8.88936887529368,9.45061449943808,11.1110051738469,8.30757312469381,8.26691285025743,8.61086232930577,7.30884654849625,8.45837306320881,9.16401174336327,8.92207874632377,10.1730562145069,9.54450180340315,7.41031465151385,8.90515009992074,9.83790011247889,8.82055160566248,11.7142686037509,11.0517526623202,11.4718758791301,10.7150269423933,12.2543570432316
"AD.4",10.9287042658585,9.91011180441092,11.1440685955503,3.41397082437001,0,4.17909323940591,11.9460735579003,9.44606143513562,11.6139993185056,8.52882318684147,9.94715866706575,8.94668534073558,7.68666614355278,7.90529494872833,7.37946749111954,8.83579248083538,9.93723534599816,8.70434542917855,11.661429881138,11.4708483775739,8.20543556375379,8.37626377994322,7.87086265862155,9.51850765839665,8.68097570644376,9.21443906972665,9.52337151279158,7.5691080415711,7.67634277403026,7.50432035796498,8.41731417636267,7.98126546513512,9.59030615680755,8.72656568615114,6.86325463009984,8.1657288621298,7.40827051212556,8.77124808156547,6.48798811599779,8.69564777540245,8.41291137225932,6.62511875786822,6.71021293042563,10.7615986337892,12.1583618914069,13.0547326371079,5.1525297913398,10.9640250215791,8.67585612687824,8.6232951799089,10.1291186193207,10.2590406494796,9.3819983890027,10.352402794204,9.23359951137303,9.476081061786,8.69886440869325,8.49152829078842,8.56376315407579,7.84475340391102,10.0202995233463,9.04782231962853,9.69618682155225,9.92754540022072,11.242861791317,8.3788224985959,8.71372235746904,8.86568901464496,7.60576605671254,8.72881769757939,9.6332674895828,8.92749210211599,10.4033467469119,10.1850606652109,7.11003206293223,9.26594937857502,9.78975608121383,8.97107548642743,11.6866939455854,10.3281243412073,11.5661616638743,10.7727467622471,12.4852999954057
"AD.5",10.5981702080852,9.07606166777472,10.8865813039999,3.48653523730339,4.17909323940591,0,12.0935607433232,10.8119128293297,12.4500067852759,9.04145304496783,11.1242095309937,8.66331913557896,7.10937472141169,8.5780822678986,7.35056113013383,9.22926205464364,10.3178470310546,8.7878227296588,12.1159696694945,12.0074348667107,8.10208999790539,6.90189820291362,6.06713388136001,8.98224626597327,8.56088781023631,9.42973758294335,9.51866345384372,6.84657355616069,7.19259891116362,7.1375734238028,8.51403560931972,8.1810108987749,9.11777681052773,8.34764353400654,6.41972453433504,7.58752820695361,6.81362227012657,9.41321150450152,7.37167662518184,9.25873527418508,9.08884479277392,7.35009482936479,7.58254385003001,10.7757006324198,12.2841530432568,13.230352298355,5.85370122501686,11.4936344849974,8.86443207226002,9.2557336227745,9.54279606350129,9.91235922066854,9.00308668187546,10.3212034785766,8.97481534204638,9.27544883243402,7.92375594132009,7.34614919234831,7.31101703469933,7.16067624846345,9.50606696531754,8.52014325037949,8.88945957870312,9.55140708557052,11.7683411108167,7.38781246848771,8.24906855007338,8.40385105074423,7.40542262695001,8.46636137108861,9.77747895631298,9.51942741093347,10.4965587441401,9.84073126188279,7.15980953468697,9.01883315850996,10.0353712575127,8.39732924658332,11.7023791443984,11.401124782852,11.7633807044293,10.8129442769721,12.7080705121625
"AD.6",11.2937548580012,10.9926529445163,10.5706015656289,12.1639925425061,11.9460735579003,12.0935607433232,0,10.6790743538073,8.51889647641013,9.93266634479349,11.6283008043181,12.0541094555137,11.4960646539156,10.4582479463869,11.6801052068864,10.8965319773343,11.061437394488,12.095004688497,10.3404005697858,10.0972750952981,10.6436618641617,13.5211017046702,12.8587759040813,10.0494819487274,10.9524550552003,11.8342391857962,10.02768408174,10.5349577356087,11.5803830258311,10.4668451545291,9.82388877819916,10.1257442060102,10.146044094524,12.0977916831051,9.59407427983501,9.11631660024029,11.2923073888729,10.5518402109681,10.9571689639014,10.4015867710166,10.0369237824453,10.5449436956123,10.824702625157,9.16150884740207,9.72134634447399,9.85009135088659,10.8225157395814,9.26736872627951,10.9696447945397,10.7849018750314,10.7689547516231,10.6713300641527,11.0432568617956,11.2905124183051,10.8187268387784,10.466882070569,11.807864499944,11.8367009898416,13.267690342221,11.4959887522619,11.1516659237939,12.8448462207203,11.9693661991367,11.8512216962063,8.88875995045215,12.5249850844285,10.6640435493195,10.002760485378,10.7851859988208,11.0942600489585,9.13520835399887,10.2135045477596,8.71110616501333,10.6528633534438,10.5873325069941,9.52965193351552,11.5154004553108,10.0257343165766,11.1623632907168,11.271705985415,10.0423182400501,9.1594599339321,11.6933738593866
"AD.7",10.9190153498688,12.3862463262731,11.9154880029115,9.82980302960818,9.44606143513562,10.8119128293297,10.6790743538073,0,9.28574687967931,8.09109449104695,6.76936534193333,11.407718024684,11.0249544921651,7.10669308860929,8.22806115409889,9.07259326965941,10.1725661372072,9.77157700688352,11.7324063193105,12.2876781367898,9.92165024880779,13.1320383666313,12.0286866431768,10.3754243903522,9.70349253612337,8.59046864974882,9.65038436039396,10.9155501470674,11.4297973301065,9.08630758432506,9.48180774004076,10.5497985423519,9.55997497280256,11.2501192716684,8.74219103655361,9.901420010718,9.4476038391641,7.32116440239479,9.66681335680547,7.70230767071915,7.8536319244323,9.65042742793045,8.71839270906126,11.7817785998342,12.5818345777196,12.4340327951459,8.90359396639757,9.71793662306588,9.64843578823593,8.12283889142636,11.2203327869276,11.1376352618257,10.7226219380623,9.87288336445088,10.9656383872255,9.44529022878904,10.6509453597789,12.166657939056,13.2786849767035,10.5763612951096,11.4354273104986,11.4440881951322,11.2827738567048,11.3921481101877,10.6527458018819,13.2944128533569,10.8183580653464,11.3238718273693,8.73726402472123,10.5261461742179,9.4208345355204,7.86243927975877,9.76740916510562,9.90610640803192,8.95682999140029,9.60124891654185,8.09190663452682,10.3174131296683,12.7770055594891,11.6705328278235,11.9640287925755,10.331935244967,11.0097556245518
"AD.8",11.1916241256406,12.2253521288374,11.2910987894616,11.727007045758,11.6139993185056,12.4500067852759,8.51889647641013,9.28574687967931,0,9.38354719831442,9.63933216747065,12.066145384903,11.6841759479026,9.72537597634417,11.1908675354549,10.9138293190406,11.6727827248804,11.6197246761981,10.9707486347191,10.9810307137548,10.6342638202394,13.5021416513426,12.6699203636615,10.2601831117889,10.7507662251255,11.0840428232222,10.333571281892,11.3090762267827,11.9194038573346,10.4239607166531,9.68552491648528,10.4479410927879,10.3831555080741,12.0087937830828,10.187447672403,9.73993611659866,11.0066412435325,9.72547640493407,11.0665355499155,10.4201525187694,10.5613616622378,11.2231886894117,10.5628813184325,10.6536255958184,12.2360163187296,11.0954017384225,10.8761403560179,8.88053669677537,10.7857290403303,10.686381929483,11.3967354524143,10.9051408452407,10.9677431235305,10.871420880282,10.3407198336551,10.0065761312318,11.8182143388459,12.0161605416448,13.60333932582,11.4699636663834,11.3422725293384,12.676949607976,12.0392636702069,11.9721097900399,10.457454872863,12.7898913197778,11.1328796066597,10.6149017414179,10.5195283967519,11.6206887753551,8.53441909778016,9.50627647010391,9.3040710230765,11.0475905026663,10.8191713608874,10.4177699745279,11.0681082615109,10.6198067453694,12.1760634615754,12.098868612812,10.6449445728343,10.0519614802728,11.3377383672385
"AD.9",9.70985294323409,9.97689952211951,10.1606433926954,8.4546895390342,8.52882318684147,9.04145304496783,9.93266634479349,8.09109449104695,9.38354719831442,0,9.42823762308942,10.0694316912676,9.34727182767588,5.34052061488397,6.46219573977256,9.43721080766816,10.8615197323428,8.58888457612256,9.15745074695345,9.62643491686267,8.59628739631924,11.2087590032438,10.4349862046712,7.66767889383403,8.85351145631473,8.5054838091872,8.12311195594299,8.87536784916757,9.73839554277149,5.77874109682924,5.79599943271304,7.68039283920346,8.34075721307067,10.019487062311,7.0544853502077,8.17782078378887,7.05314978225579,4.96972895980675,9.61059486717467,7.60147799411398,8.41477082767633,8.78275451248362,9.32993908947821,10.4585799602031,12.1880009539694,11.8332870410108,7.6901201261136,9.93889312118748,7.94672579863717,8.3903712840613,7.98036505101569,7.54849760260381,7.976803855418,8.00266212456976,8.20090250220661,8.78243625387357,8.23241758299409,9.65758311290684,11.881772708924,9.75251718783838,9.18616348530937,10.060838336502,8.9136612933093,9.83300381905416,8.18578112448281,10.8696517191006,8.39094275671857,8.64006513628435,6.49430884381832,9.90288125538909,8.06455374095483,6.3174985007596,7.42657054628636,8.98115178829079,7.63000399763907,7.91277271733371,8.39231013875317,7.93486338728409,12.1497038162028,11.2283094778108,10.8318013795171,9.6674388815519,12.2183407526576
