"","CLASS","SepalWidthCm","PetalLengthCm","PetalWidthCm","SepalLengthCm"
"112","Iris-virginica",2.7,5.3,1.9,6.4
"60","Iris-versicolor",2.7,3.9,1.4,5.2
"131","Iris-virginica",2.8,6.1,1.9,7.4
"28","Iris-setosa",3.5,1.5,0.2,5.2
"119","Iris-virginica",2.6,6.9,2.3,7.7
"33","Iris-setosa",4.1,1.5,0.1,5.2
"86","Iris-versicolor",3.4,4.5,1.6,6
"100","Iris-versicolor",2.8,4.1,1.3,5.7
"25","Iris-setosa",3.4,1.9,0.2,4.8
"32","Iris-setosa",3.4,1.5,0.4,5.4
"88","Iris-versicolor",2.3,4.4,1.3,6.3
"34","Iris-setosa",4.2,1.4,0.2,5.5
"31","Iris-setosa",3.1,1.6,0.2,4.8
"37","Iris-setosa",3.5,1.3,0.2,5.5
"146","Iris-virginica",3,5.2,2.3,6.7
"9","Iris-setosa",2.9,1.4,0.2,4.4
"82","Iris-versicolor",2.4,3.7,1,5.5
"58","Iris-versicolor",2.4,3.3,1,4.9
"89","Iris-versicolor",3,4.1,1.3,5.6
"147","Iris-virginica",2.5,5,1.9,6.3
"36","Iris-setosa",3.2,1.2,0.2,5
"44","Iris-setosa",3.5,1.6,0.6,5
"121","Iris-virginica",3.2,5.7,2.3,6.9
"123","Iris-virginica",2.8,6.7,2,7.7
"111","Iris-virginica",3.2,5.1,2,6.5
"26","Iris-setosa",3,1.6,0.2,5
"90","Iris-versicolor",2.5,4,1.3,5.5
"64","Iris-versicolor",2.9,4.7,1.4,6.1
"137","Iris-virginica",3.4,5.6,2.4,6.3
"130","Iris-virginica",3,5.8,1.6,7.2
"11","Iris-setosa",3.7,1.5,0.2,5.4
"95","Iris-versicolor",2.7,4.2,1.3,5.6
"42","Iris-setosa",2.3,1.3,0.3,4.5
"99","Iris-versicolor",2.5,3,1.1,5.1
"7","Iris-setosa",3.4,1.4,0.3,4.6
"35","Iris-setosa",3.1,1.5,0.1,4.9
"105","Iris-virginica",3,5.8,2.2,6.5
"107","Iris-virginica",2.5,4.5,1.7,4.9
"48","Iris-setosa",3.2,1.4,0.2,4.6
"118","Iris-virginica",3.8,6.7,2.2,7.7
"132","Iris-virginica",3.8,6.4,2,7.9
"10","Iris-setosa",3.1,1.5,0.1,4.9
"50","Iris-setosa",3.3,1.4,0.2,5
"46","Iris-setosa",3,1.4,0.3,4.8
"134","Iris-virginica",2.8,5.1,1.5,6.3
"136","Iris-virginica",3,6.1,2.3,7.7
"101","Iris-virginica",3.3,6,2.5,6.3
"81","Iris-versicolor",2.4,3.8,1.1,5.5
"113","Iris-virginica",3,5.5,2.1,6.8
"73","Iris-versicolor",2.5,4.9,1.5,6.3
