"","CLASS","SepalWidthCm","PetalLengthCm","PetalWidthCm","SepalLengthCm"
"96","Iris-versicolor",3,4.2,1.2,5.7
"62","Iris-versicolor",3,4.2,1.5,5.9
"122","Iris-virginica",2.8,4.9,2,5.6
"149","Iris-virginica",3.4,5.4,2.3,6.2
"104","Iris-virginica",2.9,5.6,1.8,6.3
"143","Iris-virginica",2.7,5.1,1.9,5.8
"18","Iris-setosa",3.5,1.4,0.3,5.1
"19","Iris-setosa",3.8,1.7,0.3,5.7
"43","Iris-setosa",3.2,1.3,0.2,4.4
"80","Iris-versicolor",2.6,3.5,1,5.7
"127","Iris-virginica",2.8,4.8,1.8,6.2
"75","Iris-versicolor",2.9,4.3,1.3,6.4
"85","Iris-versicolor",3,4.5,1.5,5.4
"115","Iris-virginica",2.8,5.1,2.4,5.8
"92","Iris-versicolor",3,4.6,1.4,6.1
"15","Iris-setosa",4,1.2,0.2,5.8
"2","Iris-setosa",3,1.4,0.2,4.9
"145","Iris-virginica",3.3,5.7,2.5,6.7
"71","Iris-versicolor",3.2,4.8,1.8,5.9
"78","Iris-versicolor",3,5,1.7,6.7
"4","Iris-setosa",3.1,1.5,0.2,4.6
"1","Iris-setosa",3.5,1.4,0.2,5.1
"120","Iris-virginica",2.2,5,1.5,6
"16","Iris-setosa",4.4,1.5,0.4,5.7
"13","Iris-setosa",3,1.4,0.1,4.8
"14","Iris-setosa",3,1.1,0.1,4.3
"84","Iris-versicolor",2.7,5.1,1.6,6
"45","Iris-setosa",3.8,1.9,0.4,5.1
"56","Iris-versicolor",2.8,4.5,1.3,5.7
"67","Iris-versicolor",3,4.5,1.5,5.6
"63","Iris-versicolor",2.2,4,1,6
"12","Iris-setosa",3.4,1.6,0.2,4.8
"54","Iris-versicolor",2.3,4,1.3,5.5
"138","Iris-virginica",3.1,5.5,1.8,6.4
"91","Iris-versicolor",2.6,4.4,1.2,5.5
"94","Iris-versicolor",2.3,3.3,1,5
"108","Iris-virginica",2.9,6.3,1.8,7.3
"68","Iris-versicolor",2.7,4.1,1,5.8
"135","Iris-virginica",2.6,5.6,1.4,6.1
"87","Iris-versicolor",3.1,4.7,1.5,6.7
"106","Iris-virginica",3,6.6,2.1,7.6
"140","Iris-virginica",3.1,5.4,2.1,6.9
"110","Iris-virginica",3.6,6.1,2.5,7.2
"39","Iris-setosa",3,1.3,0.2,4.4
"114","Iris-virginica",2.5,5,2,5.7
"23","Iris-setosa",3.6,1,0.2,4.6
"61","Iris-versicolor",2,3.5,1,5
"109","Iris-virginica",2.5,5.8,1.8,6.7
"47","Iris-setosa",3.8,1.6,0.2,5.1
"142","Iris-virginica",3.1,5.1,2.3,6.9
