"","ANG_1","BDNF_1","BLC_1","BMP-4_1","BMP-6_1","CK b8-1_1","CNTF_1","EGF_1","Eotaxin_1","Eotaxin-2_1","Eotaxin-3_1","FGF-6_1","FGF-7_1","Fit-3 Ligand_1","Fractalkine_1","GCP-2_1","GDNF_1","GM-CSF_1","I-309_1","IFN-g_1","IGF-1_1","IGFBP-1_1","IGFBP-2_1","IGFBP-4_1","IL-10_1","IL-13_1","IL-15_1","IL-16_1","IL-1a_1","IL-1b_1","IL-1ra_1","IL-2_1","IL-3_1","IL-4_1","IL-5_1","IL-6_1","IL-7_1","LEPTIN(OB)_1","LIGHT_1","MCP-1_1","MCP-2_1","MCP-3_1","MCP-4_1","M-CSF_1","MDC_1","MIG_1","MIP-1d_1","MIP-3a_1","NAP-2_1","NT-3_1","PARC_1","PDGF-BB_1","RANTES_1","SCF_1","SDF-1_1","TARC_1","TGF-b_1","TGF-b3_1","TNF-a_1","TNF-b_1","Acrp30_1","AgRP(ART)_1","ANG-2_1","AR_1","AXL_1","bFGF","b-NGF_1","BTC_1","CCL-28_1","CTACK_1","DTK_1","EGF-R_1","ENA-78_1","FAS_1","FGF-4_1","FGF-9_1","GCSF_1","GITR_1","GITR-Light_1","GRO_1","GRO-a_1","HCC-4_1","HGF_1","ICAM-1_1","ICAM-3_1","IGF-1 SR","IGFBP3_1","IGFBP-6_1","IL-1 RI_1","IL-11_1","IL-12 p40_1","IL-12 p70_1","IL-17_1","IL-1R4 /ST2_1","IL-2 Ra_1","IL-6 R_1","IL-8_1","I-TAC_1","Lymphotactin_1","MIF_1","MIP-1a_1","MIP-1b_1","MIP-3b_1","MSP-a_1","NT-4_1","OSM_1","OST_1","PIGF_1","spg130_1","sTNF RI_1","sTNF RII_1","TECK_1","TIMP-1_1","TIMP-2_1","TPO_1","TRAIL R3_1","TRAIL R4_1","uPAR_1","VEGF-B_1","VEGF-D_1"
"ANG_1",0,28.0677075409321,36.2245355428112,32.23012309857,35.5817673299171,37.0603806611941,37.3008023461307,34.0578121527834,38.3652392002565,35.8667781335696,38.2699971531955,36.1983399621861,40.8211841301066,40.0926878450106,38.5580171719284,41.3303529977334,37.4532266870813,41.8634460537716,39.226637066078,39.1020627491681,38.5137446019261,35.2601396446428,31.5028851160212,40.6414319469877,40.1286990676286,42.2946025898343,40.7807247684915,40.505598384162,37.1495643189087,39.2242469469881,33.7947483277904,40.1229593715198,37.6233363208438,38.8510637609624,42.2958101955685,40.2305983067683,43.3153094003647,36.2972830263087,39.3431551470107,38.6530434087776,40.7007148725259,39.8017521314208,40.7674313207104,36.9097133181434,37.892104293375,39.3237426404223,34.7227026748619,40.3325355291014,19.9703876754802,38.0929163911364,12.9493419011931,32.975305728126,19.4190396855476,36.0732633695035,39.7178264414162,41.0026387113436,39.9336230833217,36.1664209542503,38.1442305131734,35.8802154865141,24.1758583470244,40.81664995618,34.2207040444466,37.6070686891454,35.8413841051678,34.9489253431621,38.323231997845,36.6205540244495,40.7565220528949,35.0060179090578,40.050980746038,36.1432019381607,38.9750380186797,34.4533980243513,41.9223230431903,38.8170209370217,29.1744814189981,38.3039470136478,34.2453458608395,37.0279122935575,39.5736367015577,38.5889463821719,40.0669813435529,29.3228454566679,39.5698863107361,38.9987691579082,35.6124203449135,34.0831874313444,39.5587710421025,40.248402775875,36.647528322032,41.0471868550024,42.8284534560247,37.9252259873061,41.9951769624125,25.7858272530439,37.0871970904754,38.4649871440624,39.4715861145749,37.6823062434268,36.5158900796726,36.691567399183,39.9742398572833,30.9207622424042,40.8953948077161,39.2616694148551,40.2809989125631,41.6903944202574,33.1634012920874,39.3492625131942,33.8284431577066,35.9230925733742,25.1910169488978,15.2775292986188,37.7614144270564,28.881655768943,37.3539606128567,39.7951180816332,35.6484208369169,39.6657378944862
"BDNF_1",28.0677075409321,0,11.4781973811976,8.85084434733938,10.7244461229143,12.1093828003135,12.5790126865108,11.5982540506591,15.7463866947573,11.714823900428,13.8814155641581,12.241542739043,16.5355955190568,15.4769175485631,14.1108395111732,17.0013172837451,13.7901292351095,17.4139844031817,14.7095335822857,14.6931136730204,14.3157638129777,11.9164342756911,10.2230760531723,15.9872318785994,16.7485299461013,17.9716625801321,16.1414819766843,16.2932609195304,13.8732796363408,14.7197428888978,11.0123457565855,15.4888348715288,13.5174106706632,14.5317268457466,17.8154382049034,15.6486514282941,18.8297929136982,12.8513007486639,14.8112670580505,13.897744231323,16.1173385498132,15.1490455884617,16.0861516203905,13.288584104728,13.4546007564709,14.7144252822286,11.8011501039888,15.8468538443727,16.7614886778821,13.4791056766176,22.2350461399187,13.3769462823126,19.4533146381657,11.5579147657167,14.920487979645,16.1731158354251,15.1672768748247,12.2449407480246,14.9809460214806,12.4603590658379,34.070368854783,16.7950950606484,11.5992244477012,14.0406915742552,12.8249712557445,12.6636958910977,15.0669173748833,14.2139883984133,16.8795471711338,12.5420142719418,16.1918015215751,13.0335282887251,15.2295629043801,11.5619825665031,17.3586833820799,14.7967087920678,12.4057451771486,14.540796600318,11.6370817069986,13.527792800442,15.6596351374017,14.4422074122424,15.9056484901703,12.8906068230236,15.700614417508,15.0813269005673,12.3921649211985,11.6658797930993,15.4842525339966,16.0094491848621,13.394985361989,16.6581110592655,18.4472894465467,14.13246325751,17.8227345178907,12.8784845075979,14.4023972117449,15.5299170238496,15.2592930412129,14.8025469799167,13.205283944703,13.676863703162,16.1429638408708,11.699681962916,16.8011404913538,15.2110880326941,16.2290612067477,17.7435510741928,15.1064530737933,15.4817752065124,13.3823286773613,16.1416441145182,10.7577585067079,19.0229320826219,14.0499504018521,12.1873894447736,13.9661485074286,16.0962158008636,12.8687295540241,15.8865434010005
"BLC_1",36.2245355428112,11.4781973811976,0,7.88423920662398,6.11248382989236,4.24380088178174,5.58738127487252,8.72557205415872,10.7978528941754,6.88914624819959,5.39802901845657,5.53671898949095,7.26858903377863,6.09282136192502,5.90927143284204,7.62971354462128,6.28570095378907,8.29663002884324,6.046678512528,6.74955439619268,6.27271388457037,7.99722830011046,9.17959244213944,6.68771592577493,8.30691767604588,8.74535532205686,6.91975861161508,7.09450981575885,6.29549936205545,5.95925723645343,8.81839223654981,6.66866842897829,6.40877149843854,6.3657369825053,8.59426194591404,6.8870490393218,9.7736391547265,7.15671988000952,6.25079170664699,6.30921069214902,7.71903139424673,6.69349859240763,7.29159805609654,6.43322189710586,5.83718280493616,6.81612326137907,6.64466878767931,6.83482124558854,22.8180514034719,4.78399821800158,28.7070569976235,14.3527132606809,25.1198500871356,5.92418358694869,6.60940451659971,7.41030304897895,6.73180893724235,5.59785635379309,8.31185405412153,5.91145528595858,39.8757215758304,10.1905186798778,6.77022478349933,6.32742428615179,6.74923050608872,7.3115094371571,6.8902953737106,7.76806615058894,8.12024126593889,9.00879547379142,7.57455398008377,6.62405086818564,7.1743163351393,7.37682343162358,8.79827591437726,6.87563309336915,16.0523553523389,7.24682490544892,7.55257695424113,6.8567157180375,7.26615377310293,6.70468415495679,7.88626456634834,14.7643026414043,7.21240613899915,7.36364310979036,6.89289072841285,8.9252225535757,7.87548825133034,7.9636490633535,8.25664389240261,8.24158571699963,9.58309026710955,6.88553919785138,9.48313454393275,16.141682975735,9.70874700462824,8.91052624886557,7.67234690007671,8.78373546549907,7.06041978662274,8.23178501231403,8.12106072072858,12.3130196940844,8.21150805879055,7.517383131441,8.28951634265828,9.54847501285682,12.6279462621826,8.01160001857097,10.002946981692,12.325500567742,16.1244206777177,25.4626169393382,7.33585095928178,14.0226854688388,8.74247638487179,8.60441451870541,8.24512098467574,8.36067101577036
"BMP-4_1",32.23012309857,8.85084434733938,7.88423920662398,0,5.48286331527747,7.38593080518475,6.79065131149674,6.87375589586359,10.2713860220466,7.29219767960833,9.91451029132759,8.26723607616452,12.463153784822,11.3294066834605,10.7251234819443,13.1546820553926,9.26263588400631,13.6370573190159,10.4783987286914,9.10449935198415,10.4755548403176,7.41066835981394,6.67128980400362,11.4187118128664,12.6634864004314,14.3588800518013,12.0516252523572,12.2965499428462,10.0828850323343,10.5712205391052,6.29456871817714,11.3021748721345,9.4280633812113,9.46360584652562,13.7404131149705,11.4167813844932,14.8365713004101,10.4054265333831,9.89705458910052,8.34350075333683,11.3679648349882,10.3635803967358,11.6643737784847,8.11566405702767,8.38336534219135,9.77251582478782,6.36524030426951,10.5824900943882,17.5497953926353,8.85117388083291,24.9624975031497,10.1833382071402,21.2492692082118,8.09891687761255,10.812293486504,12.4727071622063,10.6931560752049,7.42171376496379,10.7110592135459,7.35223615070985,37.4154970536707,13.7025081922208,8.692505382982,10.5165909955676,8.92948295234922,8.15818408564173,10.5777298219715,8.90780599730737,12.6914832490614,9.41783888755829,12.0628580220931,8.61482091884403,11.5706177132614,8.41659606762767,13.1904978245682,10.9704748169117,15.5934730864334,10.8815287953374,10.4413972358715,9.66196708025449,12.1957002895852,11.1011970161681,12.0135520862983,12.3683109412304,11.9441307552231,11.646583144486,8.56346045075378,9.57169494959348,12.2347218267527,12.5219554417007,9.1029162221051,12.4507346613424,14.0187899355722,10.9909454300462,13.2259023260573,12.6317408603206,10.6293882022639,11.8698858533155,11.2407390970721,9.83970698735576,9.57977389522838,9.67645571150217,12.090526118033,10.54316854275,12.3577887073915,10.7282478286774,11.8004694669445,13.433590728525,12.368507150151,11.3180204984884,9.4904372393091,12.2228570565999,12.2608105756045,22.4942156602413,9.96849191665452,10.9488524160517,9.97643043436556,11.7353591412168,9.90934730565616,12.1095687645541
"BMP-6_1",35.5817673299171,10.7244461229143,6.11248382989236,5.48286331527747,0,4.80920499070424,4.59385336464267,7.11400445607098,9.91028933715354,5.99058572036872,7.36522812404633,6.12645951481524,9.32462080932303,8.17436168275315,8.17176893902469,9.99576725599982,7.19024762973462,10.3344671132232,7.71108622372805,7.13312645456936,7.922120550212,6.82379736079589,8.21536748725685,8.03927286198381,10.0231267942936,10.9814344785671,8.99670517463481,9.1787327658708,7.8954024664489,7.63750142665333,7.11628404079866,8.29250897869994,7.02924136913052,7.20860052208087,10.4226329894287,8.42664605888773,11.3987678426243,8.35987268020567,7.24698322127955,5.81527571346579,8.66097531922738,7.44130106873317,8.46665308000575,6.12672047975472,6.15523387329495,6.91487199214127,6.02584415223679,7.71655558881143,21.0498945503285,6.34477445719093,28.1811256045349,11.1427840784691,24.0546874916527,6.08439877168485,7.7485884966613,9.18427384629301,7.52957627754974,5.92982744980915,8.37074636312059,6.73151436624092,39.5577522727135,11.425509437488,7.76545838959314,8.17463340412618,7.4662160679372,7.55740008483219,8.42363446449411,7.9772891541015,9.85572915806332,8.09480302653857,9.13935133683128,6.76462004115654,8.59020320980674,7.12348244870921,10.0871898825632,8.17598218852973,15.8105909367448,7.98020834389649,8.79265084243426,7.58845326074174,9.31825112604646,8.31911195865069,9.07913014936316,13.4311486891201,8.78846185016476,8.57336513220919,6.74750680577726,8.52226968537435,9.0890717725784,9.20979650020212,7.45584332564407,9.15511976337164,10.6600811422109,8.05469253143702,9.95559047306319,14.6811200457771,9.36849980681508,9.60178527929111,8.24783356775783,8.24977882502677,7.43748496388569,7.64237400417946,9.28331496567494,11.1249534312284,9.5515252922885,8.13222573926621,9.12109749056991,10.4710419646397,11.9407514107821,8.9316541268493,9.19039119898334,11.6510325607612,14.6297521609862,25.1326136928558,7.58343727471317,12.5594260640975,7.86313631673163,8.84987256614896,8.12084919243604,9.05458159771658
"CK b8-1_1",37.0603806611941,12.1093828003135,4.24380088178174,7.38593080518475,4.80920499070424,0,3.76023405927128,8.07956245738539,9.91139140163295,5.20813511602204,4.27106391851106,4.18717160584151,6.28765654730002,5.06063762541249,4.99027511010398,6.81167216814098,4.99621022942747,7.19615708246653,4.50349106141942,4.65339926671838,5.22767558158286,6.77016726349195,8.58045924836119,5.57416933732741,7.18910512457886,7.9604104521744,5.7044068237873,6.10060500349206,5.63437815031566,5.06465048548688,7.59572713030504,5.24648607997706,4.59969146965578,4.54250035786691,7.35397022375555,5.34731133541382,8.67152545298166,6.61160428414404,4.80442933861824,4.05863599443997,6.25491360549205,4.85324284498598,5.69936518507261,4.87265943946808,3.8703119901709,4.52013674326233,5.29530186054175,4.98873969779039,22.827627783967,4.17704538246588,29.4144671783895,13.2435025316857,25.2477188979203,5.66557408072278,5.3210371318747,6.14310706432121,4.98495538656305,5.11064425165365,6.82054964294965,4.83347791339069,40.6573253287047,9.84116767133823,6.52104244448355,5.90868425749751,5.72641089805363,6.51731627595696,6.01468298790593,6.66918998677474,7.01841288627536,7.7519433757996,6.60238522149431,5.26132674227579,6.26304340542155,6.36302189534502,7.63048244363431,5.67412348249225,16.1115425357893,6.20454438060955,7.44575797595639,5.80794071063886,6.42783784878086,5.74552162971371,6.59899163334605,14.4436195566925,6.34469154644135,6.1779869884572,5.45731211541902,7.97530112110345,6.63992555787206,6.72022599459192,6.54864043136593,6.7324987106032,7.9281579430566,5.56370624991275,7.78946681625639,15.6674780276003,7.89484498026735,7.62580924963979,6.18834219741828,6.99105286067914,6.04656243588666,6.64254721646633,6.79411011683631,11.9795111220955,6.82399983280176,5.52118337362141,6.47147270035306,7.77088206798165,11.4849887724245,6.78063435028097,8.67113787387769,10.9806605950309,15.9964580020251,26.2511116195166,5.48919833446896,13.2396999742898,6.53628951215416,6.67240156262846,6.94893639696385,6.88083456343159
"CNTF_1",37.3008023461307,12.5790126865108,5.58738127487252,6.79065131149674,4.59385336464267,3.76023405927128,0,6.75476467461825,8.38509439978014,5.71138246790295,5.29527548059067,5.06968740456897,7.23655865564372,6.04360452024914,6.45599991011397,7.88088784125474,5.71643297519933,8.17685111741575,5.34679740247902,4.51325360383846,6.22306960155763,6.54253872295072,8.74948338695154,6.36108127428636,8.25294788941366,9.00243275461288,6.7443210076248,7.19698932184589,6.5379873734349,5.81520649476513,7.41976281352242,6.11208074257629,5.44676517230986,4.88083739319635,8.14020941238075,6.21339736046258,9.48202341246891,7.96955387948765,5.25825690887572,4.20657492839457,7.09795596178933,5.20584170378394,6.2756955191765,4.95768099923317,4.25065208466312,5.08794857179923,5.1687706618295,5.14566836205446,22.5999194379649,4.90626010306661,29.6846320398096,12.1837325014923,25.1133610659739,5.53035139137385,5.43934449984906,7.21845496717874,5.39407608754022,4.70478390978534,7.31343951436784,4.940956584594,40.9127903370468,10.1467913128734,7.33773988602833,6.60841669874602,6.30696121968634,6.81958565478072,6.47798871236668,6.46824898448175,7.91946930313627,8.22121392456528,7.05679823507967,5.64004057585345,6.98394211735737,7.05132566228383,8.25349657200311,6.70021638787544,16.8833292864537,7.05786046545481,8.79964446253529,6.41549029442265,7.264857949328,6.54587958939584,7.43837135130081,14.6390293707292,7.22291115216799,7.07747374276354,6.07259530375158,8.92287053499343,7.7034373732303,7.62861015428917,6.66721536268112,7.29902855502356,8.53562634895396,6.77259076991415,8.14513160420458,15.8489524352025,8.4719995871615,8.06748017707492,6.23242257938224,6.49333340242679,6.52886682734927,6.90370813700434,7.46686694080407,11.7198184526435,7.10736913998785,6.38872978361588,7.01008635611119,8.21081093834478,11.9900505598675,7.16178433806809,8.77298049381931,11.1337429462912,15.8813689170005,26.6472586060021,6.26859714376518,13.0653121878387,7.06811327373058,6.98037315673308,7.73844471208055,7.64763366573694
"EGF_1",34.0578121527834,11.5982540506591,8.72557205415872,6.87375589586359,7.11400445607098,8.07956245738539,6.75476467461825,0,9.62213042936746,7.91933828203908,8.92380794011071,7.69879652650349,11.1148116900217,10.4267795854898,9.99418070477074,11.9006939685476,8.33971776572576,12.3031070881423,9.45877629105187,9.20325364880565,9.28858582400826,7.87185939733024,8.32450047936324,10.5433488353247,11.1788077757296,12.7077069698347,11.1077802957876,10.8905539083073,8.69666242119221,10.0271184136338,8.89002857285432,10.5363043708625,8.90798625219701,9.01682010575662,12.3484781945596,10.5729351578041,13.6670109224852,9.59110909789118,9.12458509343956,8.2837807515077,10.525343177238,9.19911883008279,10.4802991049422,7.6454883582502,8.17235135448931,9.47277585077272,7.10517903937821,10.0389688997875,19.7769663673536,9.13748901680976,27.0746599408224,9.90127956098695,21.5806367642403,8.17273235433666,9.65232286232343,11.2710267152341,9.75650958944056,7.79638399147331,9.64801469515737,8.29437370824508,38.3751974810364,12.8816522241467,8.95087487073383,9.57792316626266,8.644435897154,8.69866788293337,9.61839264112795,9.06305561438437,11.1939528511904,9.79050279005114,10.2356149035402,7.86160297680653,10.1111097584418,8.6042225041526,11.9762520098088,10.0708298308934,15.822008951496,10.3194673663477,9.99076125003395,9.35691443443313,10.4781040870568,10.0857446201309,11.0301319673049,13.449679710727,10.1801255055424,10.4071765402176,8.2144980133871,9.86843531627638,11.3337344730459,11.4592468068168,9.67078814611207,11.1758784344184,12.6298590337304,9.95720212520135,11.8226975305026,14.0258199275717,10.9712064077627,10.5754124975912,9.68605893629681,9.27016234678564,8.60850698831379,8.75184849878248,10.6853318946803,11.3545336992903,10.9673828140929,9.95168261201245,10.8391996088874,12.0505286441371,11.5003178896842,10.739760978638,9.47983044203683,12.180189133598,13.444303766832,23.37927159365,9.66589693545584,11.6912969210083,9.94850185103516,10.7354878619746,9.60730575040652,11.0477134532825
"Eotaxin_1",38.3652392002565,15.7463866947573,10.7978528941754,10.2713860220466,9.91028933715354,9.91139140163295,8.38509439978014,9.62213042936746,0,10.7779628897738,10.9566258835646,10.9229625807829,11.9389940605697,11.0889568216827,11.5379065851845,12.4256911790519,11.1869830850584,12.5542716665352,10.6471893290782,8.75763612190016,11.3083121324257,10.7308888425578,12.8280579276006,10.3996624030293,12.8199923418227,13.0098358730626,11.3699892665736,11.83670345609,11.89971370176,11.0687947235817,11.0458380535261,10.7083721457511,10.910910090393,9.92566811841112,12.3028734804675,10.9051661815232,12.8057550580777,13.0011817322526,9.90554421438659,9.26968754694154,10.9675472867565,10.0797054542226,10.937283792929,10.1008831226687,9.74108239435897,9.83334990790651,9.96643768910867,10.2061080883284,22.8516936927105,9.87461971590009,30.4011707212587,15.4444554489252,26.7859613478436,11.2704285050224,10.6788336615511,11.7753042403387,10.2562049921929,9.26788030327326,11.9920303532322,9.93580361590272,40.7123406017769,13.441869103507,11.5156677708399,11.2612635162261,10.5371162516148,10.0576260452858,10.4145026504502,9.80307007264103,11.6819604154432,12.4353513924753,11.3376484371424,10.4684561415476,11.7608827288695,11.8529949033766,12.6155333147636,11.4208057463139,19.8259549620999,11.9054024079551,13.274337111267,11.2783205277854,12.1848007943899,11.6798580819841,11.3854654577555,16.3378176277654,11.7595569663242,11.7567281560162,10.3506844166678,12.8120344072572,12.452500553557,12.3080658347045,10.3072703706086,11.642772660062,12.4757684773409,11.8054849355394,11.7881544822651,17.7623246496934,11.4233336322846,13.0630260696966,10.9226488399566,9.90759628680436,10.90304484532,10.3976219914364,11.7384250252141,13.5884606618762,10.9979782355415,10.5110597032113,10.8732588343069,12.2470322056931,15.1739944332196,10.6997036071031,11.8309559841579,15.81998755587,17.2834715485799,27.9535471886307,10.404786225991,14.4375044957268,10.7951444981408,11.0308886742851,11.8290144922474,11.5633567276341
"Eotaxin-2_1",35.8667781335696,11.714823900428,6.88914624819959,7.29219767960833,5.99058572036872,5.20813511602204,5.71138246790295,7.91933828203908,10.7779628897738,0,5.96835940684967,5.15611692312028,8.12255095269842,7.41294073111878,6.96720739049374,8.74319264244511,6.01259236652073,8.97194501750705,6.06827980186943,6.46360811918685,6.12022410115787,6.97326777029673,8.70072419845597,7.57013871647135,8.33592692034112,9.79708230629643,8.03263560208276,8.22415625406679,6.83086283647985,7.08311959650186,8.26562423480162,7.46085385723093,6.38027661161916,6.48781392969929,9.24846492556304,7.79979106368761,10.3263990540172,7.88244743067787,6.24711952870939,5.7299878067925,7.5177124361161,6.7200080155866,7.62370781660647,6.34987685405948,6.00244886558236,6.94287914975155,6.23731093944328,7.00554805799824,21.6061541419241,7.17644019004885,28.5971577864565,11.732822330753,23.6372482398285,6.69661061718215,7.35024278040871,8.35174717427071,7.09085832498453,6.82071437242706,7.39998669551185,6.57614928754122,39.2740538150528,11.0552404464533,7.355080123555,7.51422992744925,6.24884675317579,6.90945751685801,7.3145761896672,7.46696364307813,8.5702564144493,7.45209546529917,8.48680623799027,6.06124088048422,7.54380750784941,6.67845625787641,9.64560770951489,7.32838293639072,15.4977849679682,7.39382819936758,7.87735188573481,7.25117925868215,8.13811637243102,7.26559040424648,8.28157930175886,13.3428173411735,8.12854275600476,7.70945631626754,6.28731970179091,7.93461301234888,7.97766872595957,8.49004573618212,7.18431091100197,8.07447200722136,9.37838850784492,7.05548543232859,8.76047629302584,14.2622401286984,8.58699339989706,7.81080385572658,7.59768227992363,7.62713292360955,6.76661673354084,7.06747829856603,8.26598637649245,11.5173731574879,8.5073899937017,7.24530204802153,7.98861726318922,9.11236663739088,10.6945941746366,8.49715044968654,8.49643190920346,10.4588035019599,14.9008554714083,25.3016539471765,7.20209617989744,12.4498289434702,7.71035470689586,8.16101443877163,7.36875378256505,8.43119170154417
